City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Iracoubo,GF,75.67,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
391,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
392,Poum,NC,73.22,scattered clouds,-20.2333,164.0167,
395,Vite,IN,75.42,overcast clouds,17.2833,74.55,Hotel Dreamland
396,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,hotel la terminal
397,Isangel,VU,73.0,scattered clouds,-19.55,169.2667,Tanna Lodge
398,Kavaratti,IN,81.81,heavy intensity rain,10.5669,72.642,Hotels in Lakshadweep Islands
399,El Asintal,GT,76.57,overcast clouds,14.6,-91.7333,Carpintería Vasquez
402,Monthey,CH,71.2,overcast clouds,46.2555,6.9607,Le Saint Christophe
403,Shimoda,JP,75.56,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
405,Zinder,NE,82.62,broken clouds,13.8072,8.9881,Hotel de Ville
409,High Rock,BS,75.22,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
411,Ulaangom,MN,76.59,few clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
413,Fuerte Olimpo,PY,73.38,few clouds,-21.0415,-57.8738,Hospedaje DAMI
414,Vaitape,PF,80.2,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
415,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
418,West Bay,KY,82.0,scattered clouds,19.3667,-81.4167,Calypso Cove
420,Lardos,GR,78.62,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
421,Wahiawa,US,77.32,overcast clouds,21.5028,-158.0236,The Inn At Schofield
422,Tura,IN,84.6,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
424,Finschhafen,PG,83.71,scattered clouds,-6.6024,147.8681,Cossam Guest House
426,Moose Factory,CA,78.8,broken clouds,51.2585,-80.6094,Cree Village Eco Lodge
427,Winnemucca,US,71.65,clear sky,40.973,-117.7357,Winners Inn Casino
433,Lacey,US,70.18,clear sky,47.0343,-122.8232,"Candlewood Suites Olympia/Lacey, an IHG Hotel"
434,Havelock,US,80.58,clear sky,34.8791,-76.9013,Sherwood Motel
435,Tadine,NC,70.21,overcast clouds,-21.55,167.8833,
437,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
438,Puerto Escondido,MX,79.39,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
440,Nicoya,CR,72.28,overcast clouds,10.1483,-85.45200000000001,Las Cabinas Del Sueño
441,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
444,Cururupu,BR,72.54,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
448,Belmonte,BR,70.72,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
451,Kazachinskoye,RU,77.13,clear sky,57.6953,93.2761,"Tayga, Gostinitsa"
456,Sena Madureira,BR,72.28,few clouds,-9.0656,-68.6569,Hotel Central
467,Birnin Kebbi,NG,79.52,light rain,12.4539,4.1975,Saffar Guest Inn Ltd
468,Tari,NG,78.4,light rain,12.4086,4.4914,
472,Linjiang,CN,70.27,light rain,41.8069,126.9078,格林豪泰
478,Gotsu,JP,78.22,broken clouds,35.0,132.2167,Yurusato
482,Namatanai,PG,83.57,light rain,-3.6667,152.4333,Seagulls Inn Namatani
483,Marsaxlokk,MT,75.07,clear sky,35.8419,14.5431,Water's Edge
490,Mogadishu,SO,80.47,broken clouds,2.0371,45.3438,Hotel Juba
494,Mumford,GH,74.16,overcast clouds,5.2618,-0.759,Spanish Villa
496,Hun,LY,73.69,clear sky,29.1268,15.9477,Alrwasi Hotel
497,Marawi,PH,77.29,broken clouds,7.9986,124.2928,Derogongan Residence
501,Dhidhdhoo,MV,83.19,overcast clouds,6.8833,73.1,Dhidhoo beach
502,Tarauaca,BR,71.01,scattered clouds,-8.1614,-70.7656,Flat Temporada
503,Primalkinskoye,RU,72.45,overcast clouds,43.7467,44.0083,Hotel Daryal
505,Salinopolis,BR,76.21,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
510,Abu Samrah,SY,72.73,clear sky,35.3029,37.1841,
511,La Romana,DO,75.43,overcast clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
516,Mayya,RU,78.12,overcast clouds,61.7333,130.2811,
521,Thinadhoo,MV,84.2,overcast clouds,0.5333,72.9333,
522,Kaili,ID,72.52,overcast clouds,-3.4626,120.2147,
527,Wukari,NG,72.39,overcast clouds,7.85,9.7833,Elimtop
529,Chimore,BO,72.34,overcast clouds,-16.9833,-65.1333,Bichito
530,Talnakh,RU,83.21,scattered clouds,69.4865,88.3972,Talnakh Hotel
534,Ajdabiya,LY,72.52,clear sky,30.7554,20.2263,Almadina Hotel
536,Tommot,RU,81.07,light rain,58.9564,126.2925,Gostinitsa Tommot
538,Guanare,VE,77.02,broken clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
541,Antsohihy,MG,75.09,few clouds,-14.8796,47.9875,Hotel de Ville
546,Kibala,TD,75.15,thunderstorm,9.1104,18.3463,hotel safari
548,Cape Canaveral,US,80.04,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
