Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Taltal,CL,-25.4,-70.4833,53.49,77,0,4.61,clear sky
113,Cape Town,ZA,-33.9258,18.4232,61.38,86,0,4.61,clear sky
114,Hoquiam,US,46.9809,-123.8893,60.96,89,100,9.22,overcast clouds
115,Doha,QA,25.2867,51.5333,102.18,23,0,8.05,clear sky
116,Ancud,CL,-41.8697,-73.8203,38.23,77,100,9.53,overcast clouds
117,Tautira,PF,-17.7333,-149.15,78.69,75,33,12.37,scattered clouds
118,Sipovo,BA,44.2814,17.0839,65.25,78,34,3.44,scattered clouds
119,Porto Walter,BR,-8.2686,-72.7439,70.7,83,25,2.13,scattered clouds
120,Beloha,MG,-25.1667,45.05,63.03,71,100,9.62,overcast clouds
121,Kysyl-Syr,RU,63.8986,122.7617,76.01,30,32,4.81,scattered clouds
122,Kalianget,ID,-7.05,113.9333,83.25,66,71,11.61,broken clouds
123,Mar Del Plata,AR,-38.0023,-57.5575,45.09,55,0,6.91,clear sky
124,Saint-Philippe,RE,-21.3585,55.7679,65.79,67,14,8.75,few clouds
125,Kurchum,KZ,48.5722,83.6542,83.89,28,17,5.57,few clouds
126,Chokurdakh,RU,70.6333,147.9167,54.59,58,100,16.2,light rain
127,Lavrentiya,RU,65.5833,-171.0,42.84,88,98,8.97,overcast clouds
128,Kudahuvadhoo,MV,2.6708,72.8944,83.12,72,100,9.46,overcast clouds
129,Kloulklubed,PW,7.0419,134.2556,84.7,68,12,5.95,few clouds
130,Buraydah,SA,26.326,43.975,91.85,11,43,13.29,scattered clouds
131,Kirakira,SB,-10.4544,161.9205,83.88,73,15,7.43,few clouds
132,Fortuna,US,40.5982,-124.1573,59.99,77,1,4.07,clear sky
133,Severo-Kurilsk,RU,50.6789,156.125,49.95,89,68,9.84,broken clouds
134,Usinsk,RU,65.9939,57.5281,48.45,82,100,17.02,light rain
135,Lalganj,IN,25.8667,85.1833,89.55,49,11,7.18,few clouds
136,Kurilsk,RU,45.2333,147.8833,51.75,82,37,8.61,scattered clouds
137,Palmer,US,42.1584,-72.3287,63.64,84,100,4.61,light rain
138,Siemiatycze,PL,52.4272,22.8623,52.7,88,76,12.55,broken clouds
139,Barcelos,PT,41.5388,-8.6151,59.92,92,95,2.3,overcast clouds
140,Placerville,US,38.7296,-120.7986,85.71,29,0,0.0,clear sky
141,Den Helder,NL,52.9599,4.7593,54.99,96,38,5.75,scattered clouds
142,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,40,20,13.8,few clouds
143,Bredasdorp,ZA,-34.5322,20.0403,56.41,96,99,4.05,overcast clouds
144,Hojslev,DK,56.5857,9.1364,56.03,93,76,3.0,broken clouds
145,Pevek,RU,69.7008,170.3133,34.07,68,27,4.25,scattered clouds
146,Naze,JP,28.3667,129.4833,79.72,79,0,12.71,clear sky
147,Butaritari,KI,3.0707,172.7902,83.07,70,60,13.91,broken clouds
148,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,87,100,9.22,overcast clouds
149,Kutum,SD,14.2,24.6667,75.25,55,8,8.52,clear sky
150,Victoria,HK,22.2855,114.1577,92.17,75,97,10.0,overcast clouds
151,Tasiilaq,GL,65.6145,-37.6368,35.76,91,69,3.09,broken clouds
152,Bethel,US,41.3712,-73.414,64.76,93,100,0.0,overcast clouds
153,Magadi,IN,12.9667,77.2333,79.38,76,100,12.93,light rain
154,Gander,CA,48.9682,-54.5906,46.53,100,100,9.22,light intensity drizzle
155,Ust-Nera,RU,64.5667,143.2,67.44,43,0,7.38,clear sky
156,Tabou,CI,4.423,-7.3528,74.03,94,100,3.42,moderate rain
157,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,68.07,57,20,3.94,few clouds
158,Portland,US,45.5234,-122.6762,75.18,64,20,10.36,few clouds
159,Calabozo,VE,8.9242,-67.4293,72.1,90,63,1.99,broken clouds
160,Tezu,IN,27.9167,96.1667,83.57,86,100,3.15,overcast clouds
161,Kasongo,CD,-4.45,26.6667,67.86,58,18,2.8,few clouds
162,Saint-Ambroise,CA,48.5501,-71.3324,57.74,88,99,5.88,overcast clouds
163,Otavi,NA,-19.65,17.3333,42.78,29,0,3.38,clear sky
164,Chulman,RU,56.8479,124.9104,75.49,40,62,6.6,broken clouds
165,Nome,US,64.5011,-165.4064,44.67,93,100,19.57,light rain
166,Lompoc,US,34.6391,-120.4579,70.02,92,0,0.0,mist
167,Kidal,ML,18.4411,1.4078,91.87,23,48,0.74,scattered clouds
168,Achacachi,BO,-16.05,-68.6833,37.96,81,16,5.03,few clouds
169,Kaeo,NZ,-35.1,173.7833,58.32,67,49,3.76,scattered clouds
170,Llorente,PH,11.4119,125.5458,85.87,67,96,6.08,light rain
